                                                                         #dataset/params     mec  hapchat
                                           ashk.pacbio.child.chr1.cov10.raw.h15.05_00001  258596   258679
                                            ashk.pacbio.child.chr1.cov10.raw.h15.05_0001  258692   259963
                                             ashk.pacbio.child.chr1.cov10.raw.h15.05_001  259338   267374
                                              ashk.pacbio.child.chr1.cov10.raw.h15.05_01  263505   305650
                                               ashk.pacbio.child.chr1.cov10.raw.h15.05_1  269461   388998
                                           ashk.pacbio.child.chr1.cov10.raw.h20.05_00001  270712   270973
                                            ashk.pacbio.child.chr1.cov10.raw.h20.05_0001  270812   272706
                                             ashk.pacbio.child.chr1.cov10.raw.h20.05_001  271332   281892
                                              ashk.pacbio.child.chr1.cov10.raw.h20.05_01  275789   323059
                                               ashk.pacbio.child.chr1.cov10.raw.h20.05_1  281603   406077
                               ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m15.05_00001  260119   260292
                                ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m15.05_0001  260223   261431
                                 ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m15.05_001  260864   269266
                                  ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m15.05_01  264906   308926
                                   ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m15.05_1  271315   388431
                               ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m20.05_00001  270719   271065
                                ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m20.05_0001  270819   272845
                                 ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m20.05_001  271361   282079
                                  ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m20.05_01  275798   323291
                                   ashk.pacbio.child.chr1.cov10.raw.hN.downs_s1_m20.05_1  281669   405979
          ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  245157   245208
           ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  245298   246016
            ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  245716   252158
             ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  251005   296880
              ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  263531   385908
          ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  248166   248212
           ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  248312   249340
            ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  248697   255561
             ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  253941   300936
              ashk.pacbio.child.chr1.cov10.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  266303   390149
                                     ashk.pacbio.child.chr1.cov10.realigned.h15.05_00001  207690   207690
                                      ashk.pacbio.child.chr1.cov10.realigned.h15.05_0001  207690   207690
                                       ashk.pacbio.child.chr1.cov10.realigned.h15.05_001  207690   208020
                                        ashk.pacbio.child.chr1.cov10.realigned.h15.05_01  207720   210300
                                         ashk.pacbio.child.chr1.cov10.realigned.h15.05_1  209010   248670
                                     ashk.pacbio.child.chr1.cov10.realigned.h20.05_00001  215460   215460
                                      ashk.pacbio.child.chr1.cov10.realigned.h20.05_0001  215460   215460
                                       ashk.pacbio.child.chr1.cov10.realigned.h20.05_001  215460   215790
                                        ashk.pacbio.child.chr1.cov10.realigned.h20.05_01  215490   218190
                                         ashk.pacbio.child.chr1.cov10.realigned.h20.05_1  216780   255360
                         ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m15.05_00001  208860   208860
                          ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m15.05_0001  208860   208860
                           ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m15.05_001  208860   209190
                            ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m15.05_01  208890   211560
                             ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m15.05_1  209820   247080
                         ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m20.05_00001  215850   215850
                          ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m20.05_0001  215850   215850
                           ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m20.05_001  215850   216180
                            ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m20.05_01  215880   218460
                             ashk.pacbio.child.chr1.cov10.realigned.hN.downs_s1_m20.05_1  217170   255690
    ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  178410   178410
     ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  178410   178410
      ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  178410   178650
       ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  178500   180600
        ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  179640   224370
    ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  179340   179340
     ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  179340   179340
      ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  179340   179580
       ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  179430   181410
        ashk.pacbio.child.chr1.cov10.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  180570   224010
                                           ashk.pacbio.child.chr1.cov15.raw.h15.05_00001  321692   322452
                                            ashk.pacbio.child.chr1.cov15.raw.h15.05_0001  321907   327020
                                             ashk.pacbio.child.chr1.cov15.raw.h15.05_001  322333   344129
                                              ashk.pacbio.child.chr1.cov15.raw.h15.05_01  324506   394559
                                               ashk.pacbio.child.chr1.cov15.raw.h15.05_1  328542   469102
                                           ashk.pacbio.child.chr1.cov15.raw.h20.05_00001  383246   386409
                                            ashk.pacbio.child.chr1.cov15.raw.h20.05_0001  383455   393738
                                             ashk.pacbio.child.chr1.cov15.raw.h20.05_001  384228   414891
                                              ashk.pacbio.child.chr1.cov15.raw.h20.05_01  385883   474533
                                               ashk.pacbio.child.chr1.cov15.raw.h20.05_1  390824   558964
                               ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m15.05_00001  330546   331076
                                ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m15.05_0001  330762   334871
                                 ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m15.05_001  331825   349590
                                  ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m15.05_01  335447   398835
                                   ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m15.05_1  338239   477029
                               ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m20.05_00001  386394   389542
