                      #dataset	raw/realigned	whatshap_downsample	             merging	random_downsample	epsilon_alpha	time(secs)	mem(kB)	swerr(%)	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     20.84	   6704	    1.68	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     10.77	   4624	    1.68	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.54	   3552	    1.98	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      3.44	   3572	    2.64	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	     30.49	  12076	    1.67	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     14.41	   6976	    1.67	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      5.59	   4668	    1.97	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      4.80	   8364	    2.64	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     18.10	   4848	    0.31	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      9.73	   3836	    0.31	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.06	   2780	    0.31	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.50	   2500	    0.36	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	     23.83	   9248	    0.31	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     12.03	   5368	    0.31	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      4.55	   3372	    0.31	
  ashk.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      1.63	   2452	    0.36	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     63.22	   9056	    1.11	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     28.91	   5964	    1.14	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     11.33	   4692	    1.27	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      8.72	   3896	    1.74	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    227.86	  42152	    1.04	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     89.82	  19228	    1.05	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     32.45	  19148	    1.18	
  ashk.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     34.00	  26424	    1.57	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     60.13	   8444	    0.26	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     28.40	   5540	    0.26	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     10.35	   3612	    0.26	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      2.98	   2620	    0.27	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    186.59	  32368	    0.25	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     76.22	  15184	    0.25	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     21.46	   6804	    0.26	
  ashk.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      4.15	   3564	    0.26	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     99.22	  13920	    0.96	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     42.86	   8188	    0.95	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     16.62	   6640	    1.14	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     13.12	   4988	    1.52	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    668.10	 106620	    0.84	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    254.22	  58312	    0.80	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     90.56	  36204	    0.95	
  ashk.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     97.98	  47500	    1.18	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    103.90	  12968	    0.25	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     46.14	   7948	    0.25	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     15.84	   4524	    0.25	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.33	   2952	    0.25	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    661.27	 109032	    0.25	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    252.20	  54156	    0.25	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     63.97	  12008	    0.25	
  ashk.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      8.48	   6028	    0.25	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    118.23	  12304	    0.98	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     50.00	   7168	    0.96	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     19.01	   6148	    1.16	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     15.35	   4796	    1.64	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   1121.02	 101828	    0.74	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    417.71	  52716	    0.75	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    153.97	  54444	    0.90	
  ashk.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	    178.02	  56320	    1.08	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    128.40	  13188	    0.23	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     55.46	   7980	    0.23	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     18.57	   4544	    0.23	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.85	   2976	    0.24	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   1169.01	 137360	    0.22	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    435.42	  58324	    0.22	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    110.80	  16248	    0.22	
  ashk.pacbio.child.chr1.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     10.86	   5524	    0.23	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    133.48	  16524	    0.92	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     55.60	   9932	    0.93	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     20.57	   5712	    1.12	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     16.62	   4256	    1.50	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   1495.82	 126852	    0.71	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    550.38	  55992	    0.71	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    192.53	  67476	    0.78	
  ashk.pacbio.child.chr1.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	    238.70	  86468	    0.97	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    151.61	  15732	    0.24	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     64.21	   9180	    0.24	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     21.13	   5080	    0.24	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      5.81	   3600	    0.25	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   1735.00	 128772	    0.23	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    638.19	  57848	    0.23	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    162.00	  18192	    0.24	
  ashk.pacbio.child.chr1.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     14.40	  14640	    0.24	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    151.36	  16584	    1.06	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     62.04	   9692	    1.01	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     23.20	   6260	    1.31	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     20.50	   5464	    1.84	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   1960.94	 154840	    0.76	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    714.12	  68760	    0.77	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    266.92	  50448	    0.86	
  ashk.pacbio.child.chr1.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	    332.98	  77716	    1.15	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    177.16	  15548	    0.24	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     73.71	   9084	    0.24	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     24.01	   4936	    0.24	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      6.14	   3208	    0.26	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   2460.59	 179692	    0.24	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    895.21	  80700	    0.24	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    229.03	  28912	    0.24	
  ashk.pacbio.child.chr1.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     17.53	  10216	    0.24	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    163.95	  20232	    1.07	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     66.66	  11532	    1.18	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     24.93	   6520	    1.50	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     21.18	   5448	    1.69	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   2314.12	 195116	    0.78	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    845.63	  87924	    0.84	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    312.41	  71088	    0.98	
  ashk.pacbio.child.chr1.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	    387.89	  60680	    1.22	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    195.12	  17336	    0.24	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     80.05	  10328	    0.25	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     25.55	   5920	    0.25	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      6.55	   4008	    0.26	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   2929.17	 158172	    0.24	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	   1059.60	  73728	    0.24	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    272.17	  25744	    0.24	
  ashk.pacbio.child.chr1.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     22.93	  29188	    0.24	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	      1.76	   2372	    4.47	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      1.46	   2392	    4.49	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      1.00	   2356	    4.69	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      0.82	   2336	    5.95	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	      1.90	   2420	    4.47	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	      1.44	   2392	    4.49	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      0.99	   2356	    4.69	
   ashk.pacbio.child.chr1.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      0.85	   2336	    5.95	
