Data,Technology,Individual,Chr,MeanCov,RawRealigned,WhDownsample,Merged,RndDownsample,Epsilon,Alpha,SwErrRatePerc,MecScore,TimeSecs,MaxMemMB
ashk,pacbio,child,chr1,25,raw,20,no_merged,no_downs,0.05,0.001,0.51,483151,551.91,59.5625
ashk,pacbio,child,chr21,30,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.56,60630,52.05,17.28125
sim,pacbio,child,chr1,10,raw,20,no_merged,no_downs,0.05,0.0001,1.01,265427,84.71000000000001,14.9765625
sim,pacbio,child,chr1,60,realigned,20,no_merged,no_downs,0.05,0.001,0.21,474930,797.83,129.5390625
sim,pacbio,child,chr1,15,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.80,551508,75.06,46.01953125
ashk,pacbio,child,chr21,20,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,1.03,95051,178.85,69.9375
sim,pacbio,child,chr1,25,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.36,557929,227.19,32.82421875
ashk,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.25,283170,16.0,4.41796875
ashk,pacbio,child,chr1,60,realigned,20,no_merged,no_downs,0.05,0.0001,0.23,376080,2130.3,279.625
sim,pacbio,child,chr21,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.80,135181,45.62,36.30859375
sim,pacbio,child,chr1,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.46,568106,689.84,68.828125
ashk,pacbio,child,chr21,15,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,1.05,78396,80.58,54.296875
sim,pacbio,child,chr1,10,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.17,248760,1.67,2.44921875
ashk,pacbio,child,chr21,15,raw,N,no_merged,downs_s1_m15,0.05,0.1,1.24,97191,2.46,3.88671875
ashk,pacbio,child,chr21,60,raw,N,no_merged,downs_s1_m15,0.05,0.001,0.86,82690,17.58,8.546875
ashk,pacbio,child,chr21,50,realigned,20,no_merged,no_downs,0.05,0.0001,0.56,66810,413.48,154.51171875
ashk,pacbio,child,chr21,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.93,116371,362.79,107.47265625
sim,pacbio,child,chr1,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.06,420120,9.89,4.125
ashk,pacbio,child,chr1,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.25,362700,5.94,3.515625
sim,pacbio,child,chr1,15,realigned,15,no_merged,no_downs,0.05,0.0001,0.05,304680,102.31,11.39453125
sim,pacbio,child,chr1,40,raw,N,no_merged,downs_s1_m15,0.05,0.001,0.61,384244,74.94,13.66796875
ashk,pacbio,child,chr1,40,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.24,439500,1908.06,197.390625
ashk,pacbio,child,chr21,10,realigned,20,no_merged,no_downs,0.05,0.01,0.67,46560,5.13,5.6953125
ashk,pacbio,child,chr1,5,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.83,138120,1.25,2.30078125
ashk,pacbio,child,chr1,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.27,296880,3.15,2.55859375
ashk,pacbio,child,chr1,15,raw,N,no_merged,downs_s1_m15,0.05,0.1,1.38,477029,11.95,5.796875
sim,pacbio,child,chr1,40,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.23,333240,63.51,7.77734375
ashk,pacbio,child,chr1,25,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.23,303720,128.9,12.87890625
ashk,pacbio,child,chr1,15,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.25,314730,100.57,16.69921875
ashk,pacbio,child,chr1,60,raw,15,no_merged,no_downs,0.05,0.1,0.55,452932,9.13,4.28515625
ashk,pacbio,child,chr1,25,realigned,15,no_merged,no_downs,0.05,0.0001,0.23,280800,129.06,15.30859375
sim,pacbio,child,chr21,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.02,66030,212.81,78.6640625
ashk,pacbio,child,chr1,50,realigned,N,no_merged,downs_s1_m20,0.05,0.0001,0.24,450750,5915.0,456.4765625
