Tool,Data,Technology,Individual,Chr,MeanCov,RawRealigned,WhDowns,WhDownsTimeSec,Merge,MergeE,MergeM,MergeT,MergeN,MergeTimeSec,MergeMaxMemMB,RndDowns,RndDownsSeed,RndDownsMaxCov,RndDownsTimeSec,RndDownsMaxMemMB,FurtherMerging,Epsilon,Alpha,BalThr,BalRatio,SwErrRatePerc,HamDistPerc,MecScore,PhasTimeSec,PhasMaxMemMB,CleanFinish,FeasibleSoln
HapChat,sim,pacbio,child,chr1,55,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,156.17000000000002,3591.31640625,yes,1,20,21.8,181.046875,no,0.05,0.01,N,0,0.02604,0.28404,430860,161.32,23.59765625,yes,yes
HapChat,sim,pacbio,child,chr21,15,realigned,15,3.6,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.04670,0.04521,60240,11.27,7.15625,yes,yes
HapChat,ashk,pacbio,child,chr21,50,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,24.51,680.5078125,yes,1,20,3.57,39.09375,no,0.05,0.001,N,0,0.45338,2.13391,76500,118.5,51.01171875,yes,yes
HapChat,sim,pacbio,child,chr1,60,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,152.56,4009.12109375,yes,1,30,19.25,188.34375,no,0.05,0.01,N,0,0.01951,0.12831,628530,5105.0,557.0078125,yes,yes
HapChat,sim,pacbio,child,chr1,25,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,14.08,148.01953125,no,0.05,0.1,N,0,0.04579,0.54383,439080,19.02,5.640625,yes,yes
HapChat,sim,pacbio,child,chr21,40,realigned,30,15.9,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.03484,0.10158,124020,1840.23,838.03515625,yes,yes
HapChat,ashk,pacbio,child,chr21,20,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,8.47,248.59375,yes,1,15,1.71,25.14453125,no,0.05,0.01,N,0,0.38556,1.18711,52800,3.36,3.6015625,yes,yes
HapChat,sim,pacbio,child,chr1,50,realigned,15,71.5,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.01736,0.26933,354660,62.16,13.31640625,yes,yes
HapChat,ashk,pacbio,child,chr21,45,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,24.2,598.03125,yes,1,25,3.12,37.953125,no,0.05,0.001,N,0,0.45333,2.14495,94650,680.76,266.984375,yes,yes
HapChat,ashk,pacbio,child,chr21,45,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,5.06,46.26171875,no,0.05,0.1,N,0,0.41929,1.88615,50610,1.33,2.609375,yes,yes
HapChat,ashk,pacbio,child,chr21,20,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,2.35,28.09375,no,0.05,0.1,N,0,0.37409,1.17594,53430,1.31,2.5234375,yes,yes
HapChat,ashk,pacbio,child,chr21,25,realigned,15,5.6,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.39641,1.19747,51330,4.03,4.15625,yes,yes
HapChat,ashk,pacbio,child,chr1,20,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,11.02,115.6875,no,0.05,0.1,N,0,0.27408,1.60851,280140,7.92,3.421875,yes,yes
HapChat,sim,pacbio,child,chr21,35,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,17.48,494.140625,yes,1,15,3.39,30.421875,no,0.05,0.001,N,0,0.02326,0.09032,51600,9.49,6.71484375,yes,yes
HapChat,sim,pacbio,child,chr1,60,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,35.23,283.53515625,no,0.05,0.001,N,0,0.01737,0.09888,463800,900.41,149.203125,yes,yes
HapChat,sim,pacbio,child,chr1,45,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,113.97999999999999,2664.8671875,yes,1,30,17.57,165.1015625,no,0.05,0.1,N,0,0.02171,0.34094,568650,311.26,811.9453125,yes,yes
HapChat,sim,pacbio,child,chr21,25,realigned,15,6.1,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.03492,0.59867,63420,12.12,8.25390625,yes,yes
HapChat,sim,pacbio,child,chr21,20,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,9.59,265.578125,yes,1,25,1.74,25.4609375,no,0.05,0.01,N,0,0.02330,0.58750,68790,45.11,49.77734375,yes,yes
HapChat,sim,pacbio,child,chr21,25,realigned,20,7.7,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.03492,0.59867,84060,33.92,18.44140625,yes,yes
HapChat,ashk,pacbio,child,chr1,25,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,14.04,147.91796875,no,0.05,0.01,N,0,0.25579,1.43216,450300,1133.23,148.33203125,yes,yes
HapChat,sim,pacbio,child,chr1,40,realigned,30,105.6,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.02607,0.25682,678270,9074.0,1238.390625,yes,yes
HapChat,ashk,pacbio,child,chr1,40,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,20.32,191.390625,no,0.05,0.001,N,0,0.23540,1.34423,481230,6416.0,640.2734375,yes,yes
HapChat,ashk,pacbio,child,chr21,30,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,13.63,369.26171875,yes,1,20,2.54,28.515625,no,0.05,0.1,N,0,0.39613,1.19706,70920,2.34,3.50390625,yes,yes
HapChat,sim,pacbio,child,chr1,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,53.97,1377.99609375,yes,1,15,13.18,112.73046875,no,0.05,0.001,N,0,0.03053,0.34569,306210,48.56,8.32421875,yes,yes
HapChat,sim,pacbio,child,chr1,50,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,129.02,3180.41015625,yes,1,20,15.92,172.60546875,no,0.05,0.01,N,0,0.02388,0.28408,428190,156.62,24.8828125,yes,yes
HapChat,sim,pacbio,child,chr1,55,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,30.65,268.7578125,no,0.05,0.01,N,0,0.01957,0.05682,353040,26.71,7.390625,yes,yes
HapChat,sim,pacbio,child,chr21,25,realigned,20,7.7,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.03492,0.59867,84060,147.07,65.2109375,yes,yes
HapChat,sim,pacbio,child,chr21,45,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,24.45,663.8046875,yes,1,25,3.31,38.13671875,no,0.05,0.001,N,0,0.05807,0.16930,90900,629.14,258.35546875,yes,yes
HapChat,ashk,pacbio,child,chr1,30,realigned,15,49.1,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.24667,1.27962,281190,20.6,4.8984375,yes,yes
HapChat,sim,pacbio,child,chr1,15,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,8.35,101.49609375,no,0.05,0.1,N,0,0.06797,0.81066,303840,5.73,3.07421875,yes,yes
HapChat,sim,pacbio,child,chr1,30,realigned,25,77.1,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.02829,0.32644,551010,1084.47,134.16015625,yes,yes
HapChat,sim,pacbio,child,chr1,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,29.42,776.921875,yes,1,30,7.47,93.44921875,no,0.05,0.01,N,0,0.07014,0.62272,270180,26.06,18.58203125,yes,yes
HapChat,ashk,pacbio,child,chr1,35,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,82.75,1966.25,yes,1,15,12.23,148.765625,no,0.05,0.01,N,0,0.25091,1.72403,303360,20.97,4.4296875,yes,yes
HapChat,sim,pacbio,child,chr1,60,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,30,32.62,283.55859375,no,0.05,0.1,N,0,0.01735,0.22508,691410,833.09,855.16015625,yes,yes
HapChat,ashk,pacbio,child,chr1,15,realigned,15,29.9,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.28799,1.69911,258210,4.59,3.08984375,yes,yes
HapChat,sim,pacbio,child,chr21,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,6.73,205.15234375,yes,1,15,1.44,21.421875,no,0.05,0.01,N,0,0.04670,0.04521,49260,2.66,3.51953125,yes,yes
HapChat,sim,pacbio,child,chr1,35,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,19.08,176.86328125,no,0.05,0.1,N,0,0.03262,0.29897,563790,116.27000000000001,67.8828125,yes,yes
HapChat,sim,pacbio,child,chr1,60,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,152.56,4009.12109375,yes,1,15,19.14,188.38671875,no,0.05,0.1,N,0,0.01953,0.11991,303030,5.71,3.51953125,yes,yes
HapChat,sim,pacbio,child,chr21,30,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,14.57,419.3828125,yes,1,15,2.34,28.94140625,no,0.05,0.001,N,0,0.02329,0.58731,52770,9.56,6.69921875,yes,yes
HapChat,sim,pacbio,child,chr1,30,realigned,20,64.9,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.03264,0.35593,451380,15.71,8.95703125,yes,yes
HapChat,ashk,pacbio,child,chr1,15,realigned,20,33.3,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.28141,1.46459,300390,266.05,34.37890625,yes,yes
HapChat,sim,pacbio,child,chr1,50,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,32.21,254.53125,no,0.05,0.1,N,0,0.02389,0.46930,574950,127.2,76.8203125,yes,yes
HapChat,sim,pacbio,child,chr21,40,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,4.99,45.03515625,no,0.05,0.01,N,0,0.04652,0.22573,62820,5.08,4.91015625,yes,yes
HapChat,sim,pacbio,child,chr1,30,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,16.29,162.05078125,no,0.05,0.01,N,0,0.02830,0.31382,547860,1294.19,159.81640625,yes,yes
HapChat,sim,pacbio,child,chr21,40,realigned,20,12.4,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.03484,0.10158,82890,3.05,4.7890625,yes,yes
HapChat,ashk,pacbio,child,chr1,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,52.71,1370.38671875,yes,1,15,12.83,113.1328125,no,0.05,0.01,N,0,0.25591,1.56089,291090,17.44,4.453125,yes,yes
HapChat,ashk,pacbio,child,chr1,45,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,24.25,204.76953125,no,0.05,0.1,N,0,0.25047,1.63665,477690,143.52,183.29296875,yes,yes
HapChat,ashk,pacbio,child,chr21,25,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,2.86,30.89453125,no,0.05,0.1,N,0,0.39646,1.19747,71940,4.44,5.90234375,yes,yes
HapChat,sim,pacbio,child,chr21,30,realigned,20,9.5,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.02326,0.58717,84360,36.9,21.171875,yes,yes
HapChat,sim,pacbio,child,chr1,45,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,113.97999999999999,2664.8671875,yes,1,25,19.44,164.71875,no,0.05,0.1,N,0,0.02171,0.34094,513420,64.39,48.38671875,yes,yes
HapChat,sim,pacbio,child,chr1,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,29.42,776.921875,yes,1,20,8.08,93.54296875,no,0.05,0.1,N,0,0.08768,0.87182,269610,4.51,6.84375,yes,yes
HapChat,sim,pacbio,child,chr21,20,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,3.21,28.90234375,no,0.05,0.01,N,0,0.02331,0.58750,81030,37.65,18.7109375,yes,yes
HapChat,sim,pacbio,child,chr21,45,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,5.89,48.26953125,no,0.05,0.01,N,0,0.05811,0.16930,84060,43.13,25.43359375,yes,yes
HapChat,ashk,pacbio,child,chr21,25,realigned,25,7.7,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.39641,1.19747,87450,963.7,408.87890625,yes,yes
HapChat,sim,pacbio,child,chr1,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,53.97,1377.99609375,yes,1,25,12.48,112.70703125,no,0.05,0.01,N,0,0.03924,0.35199,397260,246.5,51.77734375,yes,yes
HapChat,ashk,pacbio,child,chr21,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,6.14,196.1015625,yes,1,30,2.02,21.04296875,no,0.05,0.1,N,0,0.38592,1.16463,52770,1.36,3.1171875,yes,yes
HapChat,ashk,pacbio,child,chr1,40,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,88.02,2291.25,yes,1,25,16.03,157.91015625,no,0.05,0.01,N,0,0.24399,1.47056,496860,625.99,91.47265625,yes,yes
HapChat,ashk,pacbio,child,chr21,40,realigned,25,14.2,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.43018,1.71577,88320,219.51,106.10546875,yes,yes
HapChat,ashk,pacbio,child,chr1,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,30.48,776.28515625,yes,1,25,6.76,93.703125,no,0.05,0.01,N,0,0.28141,1.46248,248820,26.42,11.6015625,yes,yes
HapChat,ashk,pacbio,child,chr21,40,realigned,15,8.5,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.43018,1.71577,50760,12.19,7.26171875,yes,yes
HapChat,ashk,pacbio,child,chr1,55,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,137.27,3549.21875,yes,1,25,17.81,182.87890625,no,0.05,0.001,N,0,0.24130,1.45043,550770,3776.0,336.61328125,yes,yes
HapChat,ashk,pacbio,child,chr21,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,6.14,196.1015625,yes,1,15,1.83,21.04296875,no,0.05,0.1,N,0,0.38606,1.16476,47610,0.8,2.33984375,yes,yes
HapChat,ashk,pacbio,child,chr1,15,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,8.08,101.53515625,no,0.05,0.1,N,0,0.28799,1.68220,316140,20.8,12.20703125,yes,yes
HapChat,ashk,pacbio,child,chr21,20,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,2.46,28.1171875,no,0.05,0.001,N,0,0.37374,1.17567,69840,144.32,63.26953125,yes,yes
HapChat,sim,pacbio,child,chr1,35,realigned,15,58.9,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.02826,0.26948,351960,61.88,13.57421875,yes,yes
HapChat,ashk,pacbio,child,chr21,30,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,3.94,33.69140625,no,0.05,0.1,N,0,0.38493,1.18631,52290,1.55,2.54296875,yes,yes
HapChat,sim,pacbio,child,chr1,30,realigned,15,51.5,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.02829,0.32644,344460,61.71,10.30859375,yes,yes
HapChat,sim,pacbio,child,chr21,15,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,3.13,25.9375,no,0.05,0.001,N,0,0.04670,0.04521,81900,455.54,339.2109375,yes,yes
HapChat,sim,pacbio,child,chr21,15,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,1.96,25.94140625,no,0.05,0.01,N,0,0.05839,0.05652,60330,4.74,4.28125,yes,yes
HapChat,ashk,pacbio,child,chr1,55,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,137.27,3549.21875,yes,1,15,16.86,182.25,no,0.05,0.001,N,0,0.23717,1.33698,304800,52.56,7.58203125,yes,yes
