                                #dataset  epsilon_alpha     mec  hapchat  whatshap
    ashk.pacbio.child.chr1.cov10.raw.h15       05_00001  258596   258679    258571
    ashk.pacbio.child.chr1.cov10.raw.h15        05_0001  258692   259963    258571
    ashk.pacbio.child.chr1.cov10.raw.h15         05_001  259338   267374    258571
    ashk.pacbio.child.chr1.cov10.raw.h15          05_01  263505   305650    258571
    ashk.pacbio.child.chr1.cov10.raw.h15           05_1  269461   388998    258571
    ashk.pacbio.child.chr1.cov10.raw.h20       05_00001  270712   270973    270682
    ashk.pacbio.child.chr1.cov10.raw.h20        05_0001  270812   272706    270682
    ashk.pacbio.child.chr1.cov10.raw.h20         05_001  271332   281892    270682
    ashk.pacbio.child.chr1.cov10.raw.h20          05_01  275789   323059    270682
    ashk.pacbio.child.chr1.cov10.raw.h20           05_1  281603   406077    270682
    ashk.pacbio.child.chr1.cov15.raw.h15       05_00001  321692   322452    321569
    ashk.pacbio.child.chr1.cov15.raw.h15        05_0001  321907   327020    321569
    ashk.pacbio.child.chr1.cov15.raw.h15         05_001  322333   344129    321569
    ashk.pacbio.child.chr1.cov15.raw.h15          05_01  324506   394559    321569
    ashk.pacbio.child.chr1.cov15.raw.h15           05_1  328542   469102    321569
    ashk.pacbio.child.chr1.cov15.raw.h20       05_00001  383246   386409    382973
    ashk.pacbio.child.chr1.cov15.raw.h20        05_0001  383455   393738    382973
    ashk.pacbio.child.chr1.cov15.raw.h20         05_001  384228   414891    382973
    ashk.pacbio.child.chr1.cov15.raw.h20          05_01  385883   474533    382973
    ashk.pacbio.child.chr1.cov15.raw.h20           05_1  390824   558964    382973
    ashk.pacbio.child.chr1.cov20.raw.h15       05_00001  333313   334097    333200
    ashk.pacbio.child.chr1.cov20.raw.h15        05_0001  333557   338462    333200
    ashk.pacbio.child.chr1.cov20.raw.h15         05_001  334245   357267    333200
    ashk.pacbio.child.chr1.cov20.raw.h15          05_01  335623   404851    333200
    ashk.pacbio.child.chr1.cov20.raw.h15           05_1  337274   477074    333200
    ashk.pacbio.child.chr1.cov20.raw.h20       05_00001  436124   440074    436011
    ashk.pacbio.child.chr1.cov20.raw.h20        05_0001  436376   447990    436011
    ashk.pacbio.child.chr1.cov20.raw.h20         05_001  436793   469687    436011
    ashk.pacbio.child.chr1.cov20.raw.h20          05_01  438311   532581    436011
    ashk.pacbio.child.chr1.cov20.raw.h20           05_1  439449   635383    436011
    ashk.pacbio.child.chr1.cov25.raw.h15       05_00001  329645   330455    329494
    ashk.pacbio.child.chr1.cov25.raw.h15        05_0001  329855   334809    329494
    ashk.pacbio.child.chr1.cov25.raw.h15         05_001  330370   351814    329494
    ashk.pacbio.child.chr1.cov25.raw.h15          05_01  332248   403483    329494
    ashk.pacbio.child.chr1.cov25.raw.h15           05_1  332702   475690    329494
    ashk.pacbio.child.chr1.cov25.raw.h20       05_00001  450774   455737    450387
    ashk.pacbio.child.chr1.cov25.raw.h20        05_0001  450929   464175    450387
    ashk.pacbio.child.chr1.cov25.raw.h20         05_001  451504   483151    450387
    ashk.pacbio.child.chr1.cov25.raw.h20          05_01  452585   542407    450387
    ashk.pacbio.child.chr1.cov25.raw.h20           05_1  453923   666701    450387
    ashk.pacbio.child.chr1.cov30.raw.h15       05_00001  323424   324180    323276
    ashk.pacbio.child.chr1.cov30.raw.h15        05_0001  323514   328522    323276
    ashk.pacbio.child.chr1.cov30.raw.h15         05_001  323806   346206    323276
    ashk.pacbio.child.chr1.cov30.raw.h15          05_01  325275   393424    323276
    ashk.pacbio.child.chr1.cov30.raw.h15           05_1  325873   464503    323276
    ashk.pacbio.child.chr1.cov30.raw.h20       05_00001  446726   451636    446499
    ashk.pacbio.child.chr1.cov30.raw.h20        05_0001  446826   458836    446499
    ashk.pacbio.child.chr1.cov30.raw.h20         05_001  447186   480278    446499
    ashk.pacbio.child.chr1.cov30.raw.h20          05_01  447713   537580    446499
    ashk.pacbio.child.chr1.cov30.raw.h20           05_1  448890   663092    446499
    ashk.pacbio.child.chr1.cov40.raw.h15       05_00001  316928   317951    316843
    ashk.pacbio.child.chr1.cov40.raw.h15        05_0001  317591   324031    316843
    ashk.pacbio.child.chr1.cov40.raw.h15         05_001  317981   340568    316843
    ashk.pacbio.child.chr1.cov40.raw.h15          05_01  318328   382996    316843
    ashk.pacbio.child.chr1.cov40.raw.h15           05_1  318493   455044    316843
    ashk.pacbio.child.chr1.cov40.raw.h20       05_00001  433338   438041    433232
    ashk.pacbio.child.chr1.cov40.raw.h20        05_0001  434312   446698    433232
    ashk.pacbio.child.chr1.cov40.raw.h20         05_001  433680   465068    433232
    ashk.pacbio.child.chr1.cov40.raw.h20          05_01  434419   514676    433232
